year,team,playoffs
2014,Detroit Tigers,Lost Quarter
2014,Houston Astros,
2014,Kansas City Royals,Lost WS
2014,Los Angeles Angels,Lost Quarter
2014,Los Angeles Dodgers,Lost Quarter
2014,Miami Marlins,
2014,Milwaukee Brewers,
2014,Minnesota Twins,
2014,New York Mets,
2014,New York Yankees,
2014,Oakland Athletics,Lost WC
2014,Philadelphia Phillies,
2014,Pittsburgh Pirates,Lost WC
2014,San Diego Padres,
2014,San Francisco Giants,Won WS
2014,Seattle Mariners,
2014,St. Louis Cardinals,Lost Semi
2014,Tampa Bay Rays,
2014,Texas Rangers,
2014,Toronto Blue Jays,
2014,Washington Nationals,Lost Quarter
2015,Arizona Diamondbacks,
2015,Atlanta Braves,
2015,Baltimore Orioles,
2015,Boston Red Sox,
2015,Chicago Cubs,Lost Semi
2015,Chicago White Sox,
2015,Cincinnati Reds,
2015,Cleveland Indians,
2015,Colorado Rockies,
2015,Detroit Tigers,
2015,Houston Astros,Lost Quarter
2015,Kansas City Royals,Won WS
2015,Los Angeles Angels,
2015,Los Angeles Dodgers,Lost Quarter
2015,Miami Marlins,
2015,Milwaukee Brewers,
2015,Minnesota Twins,
2015,New York Mets,Lost WS
2015,New York Yankees,Lost WC
2015,Oakland Athletics,
2015,Philadelphia Phillies,
2015,Pittsburgh Pirates,Lost WC
2015,San Diego Padres,
2015,San Francisco Giants,
2015,Seattle Mariners,
2015,St. Louis Cardinals,Lost Quarter
2015,Tampa Bay Rays,
2015,Texas Rangers,Lost Quarter
2015,Toronto Blue Jays,Lost Semi
2015,Washington Nationals,
2016,Arizona Diamondbacks,
2016,Atlanta Braves,
2016,Baltimore Orioles,Lost WC
2016,Boston Red Sox,Lost Quarter
2016,Chicago Cubs,Won WS
2016,Chicago White Sox,
2016,Cincinnati Reds,
2016,Cleveland Indians,Lost WS
2016,Colorado Rockies,
2016,Detroit Tigers,
2016,Houston Astros,
2016,Kansas City Royals,
2016,Los Angeles Angels,
2016,Los Angeles Dodgers,Lost Semi
2016,Miami Marlins,
2016,Milwaukee Brewers,
2016,Minnesota Twins,
2016,New York Mets,Lost WC
2016,New York Yankees,
2016,Oakland Athletics,
2016,Philadelphia Phillies,
2016,Pittsburgh Pirates,
2016,San Diego Padres,
2016,San Francisco Giants,Lost Quarter
2016,Seattle Mariners,
2016,St. Louis Cardinals,
2016,Tampa Bay Rays,
2016,Texas Rangers,Lost Quarter
2016,Toronto Blue Jays,Lost Semi
2016,Washington Nationals,Lost Quarter
2017,Arizona Diamondbacks,Lost Quarter
2017,Atlanta Braves,
2017,Baltimore Orioles,
2017,Boston Red Sox,Lost Quarter
2017,Chicago Cubs,Lost Semi
2017,Chicago White Sox,
2017,Cincinnati Reds,
2017,Cleveland Indians,Lost Quarter
2017,Colorado Rockies,Lost WC
2017,Detroit Tigers,
2017,Houston Astros,Won WS
2017,Kansas City Royals,
2017,Los Angeles Angels,
2017,Los Angeles Dodgers,Lost WS
2017,Miami Marlins,
2017,Milwaukee Brewers,
2017,Minnesota Twins,Lost WC
2017,New York Mets,
2017,New York Yankees,Lost Semi
2017,Oakland Athletics,
2017,Philadelphia Phillies,
2017,Pittsburgh Pirates,
2017,San Diego Padres,
2017,San Francisco Giants,
2017,Seattle Mariners,
2017,St. Louis Cardinals,
2017,Tampa Bay Rays,
2017,Texas Rangers,
2017,Toronto Blue Jays,
2017,Washington Nationals,Lost Quarter
2018,Arizona Diamondbacks,
2018,Atlanta Braves,Lost Quarter
2018,Baltimore Orioles,
2018,Boston Red Sox,Won WS
2018,Chicago Cubs,Lost WC
2018,Chicago White Sox,
2018,Cincinnati Reds,
2018,Cleveland Indians,Lost Quarter
2018,Colorado Rockies,Lost Quarter
2018,Detroit Tigers,
2018,Houston Astros,Lost Semi
2018,Kansas City Royals,
2018,Los Angeles Angels,
2018,Los Angeles Dodgers,Lost WS
2018,Miami Marlins,
2018,Milwaukee Brewers,Lost Semi
2018,Minnesota Twins,
2018,New York Mets,
2018,New York Yankees,Lost Quarter
2018,Oakland Athletics,Lost WC
2018,Philadelphia Phillies,
2018,Pittsburgh Pirates,
2018,San Diego Padres,
2018,San Francisco Giants,
2018,Seattle Mariners,
2018,St. Louis Cardinals,
2018,Tampa Bay Rays,
2018,Texas Rangers,
2018,Toronto Blue Jays,
2018,Washington Nationals,
2019,Arizona Diamondbacks,
2019,Atlanta Braves,Lost Quarter
2019,Baltimore Orioles,
2019,Boston Red Sox,
2019,Chicago Cubs,
2019,Chicago White Sox,
2019,Cincinnati Reds,
2019,Cleveland Indians,
2019,Colorado Rockies,
2019,Detroit Tigers,
2019,Houston Astros,Lost WS
2019,Kansas City Royals,
2019,Los Angeles Angels,
2019,Los Angeles Dodgers,Lost Quarter
2019,Miami Marlins,
2019,Milwaukee Brewers,Lost WC
2019,Minnesota Twins,Lost Quarter
2019,New York Mets,
2019,New York Yankees,Lost Semi
2019,Oakland Athletics,Lost WC
2019,Philadelphia Phillies,
2019,Pittsburgh Pirates,
2019,San Diego Padres,
2019,San Francisco Giants,
2019,Seattle Mariners,
2019,St. Louis Cardinals,Lost Semi
2019,Tampa Bay Rays,Lost Quarter
2019,Texas Rangers,
2019,Toronto Blue Jays,
2019,Washington Nationals,Won WS
