"","date","hits","teams"
"124",2014-04-01,"5","Chicago Cubs"
"125",2014-05-01,"4","Chicago Cubs"
"126",2014-06-01,"4","Chicago Cubs"
"127",2014-07-01,"5","Chicago Cubs"
"128",2014-08-01,"4","Chicago Cubs"
"129",2014-09-01,"3","Chicago Cubs"
"130",2014-10-01,"1","Chicago Cubs"
"131",2014-11-01,"2","Chicago Cubs"
"132",2014-12-01,"2","Chicago Cubs"
"133",2015-01-01,"2","Chicago Cubs"
"134",2015-02-01,"2","Chicago Cubs"
"135",2015-03-01,"3","Chicago Cubs"
"136",2015-04-01,"9","Chicago Cubs"
"137",2015-05-01,"8","Chicago Cubs"
"138",2015-06-01,"8","Chicago Cubs"
"139",2015-07-01,"8","Chicago Cubs"
"140",2015-08-01,"11","Chicago Cubs"
"141",2015-09-01,"13","Chicago Cubs"
"142",2015-10-01,"41","Chicago Cubs"
"143",2015-11-01,"2","Chicago Cubs"
"144",2015-12-01,"3","Chicago Cubs"
"145",2016-01-01,"2","Chicago Cubs"
"146",2016-02-01,"3","Chicago Cubs"
"147",2016-03-01,"4","Chicago Cubs"
"148",2016-04-01,"18","Chicago Cubs"
"149",2016-05-01,"19","Chicago Cubs"
"150",2016-06-01,"18","Chicago Cubs"
"151",2016-07-01,"17","Chicago Cubs"
"152",2016-08-01,"17","Chicago Cubs"
"153",2016-09-01,"17","Chicago Cubs"
"154",2016-10-01,"100","Chicago Cubs"
"155",2016-11-01,"53","Chicago Cubs"
"156",2016-12-01,"5","Chicago Cubs"
"157",2017-01-01,"3","Chicago Cubs"
"158",2017-02-01,"4","Chicago Cubs"
"159",2017-03-01,"5","Chicago Cubs"
"160",2017-04-01,"19","Chicago Cubs"
"161",2017-05-01,"16","Chicago Cubs"
"162",2017-06-01,"15","Chicago Cubs"
"163",2017-07-01,"17","Chicago Cubs"
"164",2017-08-01,"17","Chicago Cubs"
"165",2017-09-01,"19","Chicago Cubs"
"166",2017-10-01,"41","Chicago Cubs"
"167",2017-11-01,"3","Chicago Cubs"
"168",2017-12-01,"4","Chicago Cubs"
"169",2018-01-01,"4","Chicago Cubs"
"170",2018-02-01,"4","Chicago Cubs"
"171",2018-03-01,"7","Chicago Cubs"
"172",2018-04-01,"15","Chicago Cubs"
"173",2018-05-01,"15","Chicago Cubs"
"174",2018-06-01,"17","Chicago Cubs"
"175",2018-07-01,"17","Chicago Cubs"
"176",2018-08-01,"18","Chicago Cubs"
"177",2018-09-01,"26","Chicago Cubs"
"178",2018-10-01,"12","Chicago Cubs"
"179",2018-11-01,"2","Chicago Cubs"
"180",2018-12-01,"3","Chicago Cubs"
"181",2019-01-01,"3","Chicago Cubs"
"182",2019-02-01,"4","Chicago Cubs"
"183",2019-03-01,"7","Chicago Cubs"
"184",2019-04-01,"15","Chicago Cubs"
"185",2019-05-01,"21","Chicago Cubs"
"186",2019-06-01,"20","Chicago Cubs"
"187",2019-07-01,"17","Chicago Cubs"
"188",2019-08-01,"19","Chicago Cubs"
"189",2019-09-01,"21","Chicago Cubs"
"190",2019-10-01,"3","Chicago Cubs"
"191",2019-11-01,"2","Chicago Cubs"
"192",2019-12-01,"3","Chicago Cubs"
"193",2020-01-01,"3","Chicago Cubs"
"194",2020-02-01,"4","Chicago Cubs"
"195",2020-03-01,"3","Chicago Cubs"
"196",2020-04-01,"1","Chicago Cubs"
"197",2020-05-01,"1","Chicago Cubs"
"198",2020-06-01,"1","Chicago Cubs"
"199",2020-07-01,"2","Chicago Cubs"
"217",2004-01-01,"<1","Milwaukee Brewers"
"218",2004-02-01,"1","Milwaukee Brewers"
"219",2004-03-01,"1","Milwaukee Brewers"
"220",2004-04-01,"1","Milwaukee Brewers"
"221",2004-05-01,"1","Milwaukee Brewers"
"222",2004-06-01,"1","Milwaukee Brewers"
"223",2004-07-01,"2","Milwaukee Brewers"
"224",2004-08-01,"1","Milwaukee Brewers"
"225",2004-09-01,"1","Milwaukee Brewers"
"226",2004-10-01,"<1","Milwaukee Brewers"
"227",2004-11-01,"<1","Milwaukee Brewers"
"228",2004-12-01,"<1","Milwaukee Brewers"
"229",2005-01-01,"<1","Milwaukee Brewers"
"230",2005-02-01,"1","Milwaukee Brewers"
"231",2005-03-01,"1","Milwaukee Brewers"
"232",2005-04-01,"2","Milwaukee Brewers"
"233",2005-05-01,"1","Milwaukee Brewers"
"234",2005-06-01,"2","Milwaukee Brewers"
"235",2005-07-01,"1","Milwaukee Brewers"
"236",2005-08-01,"1","Milwaukee Brewers"
"237",2005-09-01,"1","Milwaukee Brewers"
"238",2005-10-01,"<1","Milwaukee Brewers"
"239",2005-11-01,"<1","Milwaukee Brewers"
"240",2005-12-01,"<1","Milwaukee Brewers"
"241",2006-01-01,"<1","Milwaukee Brewers"
"242",2006-02-01,"1","Milwaukee Brewers"
"243",2006-03-01,"1","Milwaukee Brewers"
"244",2006-04-01,"2","Milwaukee Brewers"
"245",2006-05-01,"2","Milwaukee Brewers"
"246",2006-06-01,"2","Milwaukee Brewers"
"247",2006-07-01,"2","Milwaukee Brewers"
"248",2006-08-01,"1","Milwaukee Brewers"
"249",2006-09-01,"1","Milwaukee Brewers"
"250",2006-10-01,"<1","Milwaukee Brewers"
"251",2006-11-01,"<1","Milwaukee Brewers"
"252",2006-12-01,"<1","Milwaukee Brewers"
"253",2007-01-01,"<1","Milwaukee Brewers"
"254",2007-02-01,"1","Milwaukee Brewers"
"255",2007-03-01,"1","Milwaukee Brewers"
"256",2007-04-01,"2","Milwaukee Brewers"
"257",2007-05-01,"3","Milwaukee Brewers"
"258",2007-06-01,"3","Milwaukee Brewers"
"259",2007-07-01,"3","Milwaukee Brewers"
"260",2007-08-01,"2","Milwaukee Brewers"
"261",2007-09-01,"2","Milwaukee Brewers"
"262",2007-10-01,"<1","Milwaukee Brewers"
"263",2007-11-01,"<1","Milwaukee Brewers"
"264",2007-12-01,"1","Milwaukee Brewers"
"265",2008-01-01,"1","Milwaukee Brewers"
"266",2008-02-01,"1","Milwaukee Brewers"
"267",2008-03-01,"1","Milwaukee Brewers"
"268",2008-04-01,"3","Milwaukee Brewers"
"269",2008-05-01,"2","Milwaukee Brewers"
"270",2008-06-01,"2","Milwaukee Brewers"
"271",2008-07-01,"3","Milwaukee Brewers"
"272",2008-08-01,"2","Milwaukee Brewers"
"273",2008-09-01,"3","Milwaukee Brewers"
"274",2008-10-01,"1","Milwaukee Brewers"
"275",2008-11-01,"<1","Milwaukee Brewers"
"276",2008-12-01,"1","Milwaukee Brewers"
"277",2009-01-01,"1","Milwaukee Brewers"
"278",2009-02-01,"1","Milwaukee Brewers"
"279",2009-03-01,"1","Milwaukee Brewers"
"280",2009-04-01,"3","Milwaukee Brewers"
"281",2009-05-01,"3","Milwaukee Brewers"
"282",2009-06-01,"2","Milwaukee Brewers"
"283",2009-07-01,"2","Milwaukee Brewers"
"284",2009-08-01,"2","Milwaukee Brewers"
"285",2009-09-01,"1","Milwaukee Brewers"
"286",2009-10-01,"<1","Milwaukee Brewers"
"287",2009-11-01,"<1","Milwaukee Brewers"
"288",2009-12-01,"<1","Milwaukee Brewers"
"289",2010-01-01,"1","Milwaukee Brewers"
"290",2010-02-01,"1","Milwaukee Brewers"
"291",2010-03-01,"1","Milwaukee Brewers"
"292",2010-04-01,"2","Milwaukee Brewers"
"293",2010-05-01,"2","Milwaukee Brewers"
"294",2010-06-01,"2","Milwaukee Brewers"
"295",2010-07-01,"2","Milwaukee Brewers"
"296",2010-08-01,"1","Milwaukee Brewers"
"297",2010-09-01,"1","Milwaukee Brewers"
"298",2010-10-01,"<1","Milwaukee Brewers"
"299",2010-11-01,"<1","Milwaukee Brewers"
"300",2010-12-01,"1","Milwaukee Brewers"
"301",2011-01-01,"1","Milwaukee Brewers"
"302",2011-02-01,"1","Milwaukee Brewers"
"303",2011-03-01,"1","Milwaukee Brewers"
"304",2011-04-01,"3","Milwaukee Brewers"
"305",2011-05-01,"2","Milwaukee Brewers"
"306",2011-06-01,"3","Milwaukee Brewers"
"307",2011-07-01,"3","Milwaukee Brewers"
"308",2011-08-01,"4","Milwaukee Brewers"
"309",2011-09-01,"4","Milwaukee Brewers"
"310",2011-10-01,"7","Milwaukee Brewers"
"311",2011-11-01,"1","Milwaukee Brewers"
"312",2011-12-01,"1","Milwaukee Brewers"
"313",2012-01-01,"1","Milwaukee Brewers"
"314",2012-02-01,"1","Milwaukee Brewers"
"315",2012-03-01,"1","Milwaukee Brewers"
"316",2012-04-01,"3","Milwaukee Brewers"
"317",2012-05-01,"2","Milwaukee Brewers"
"318",2012-06-01,"2","Milwaukee Brewers"
"319",2012-07-01,"2","Milwaukee Brewers"
"320",2012-08-01,"2","Milwaukee Brewers"
"321",2012-09-01,"2","Milwaukee Brewers"
"322",2012-10-01,"<1","Milwaukee Brewers"
"323",2012-11-01,"<1","Milwaukee Brewers"
"324",2012-12-01,"<1","Milwaukee Brewers"
"325",2013-01-01,"1","Milwaukee Brewers"
"326",2013-02-01,"1","Milwaukee Brewers"
"327",2013-03-01,"1","Milwaukee Brewers"
"328",2013-04-01,"3","Milwaukee Brewers"
"329",2013-05-01,"2","Milwaukee Brewers"
"330",2013-06-01,"2","Milwaukee Brewers"
"331",2013-07-01,"2","Milwaukee Brewers"
"332",2013-08-01,"1","Milwaukee Brewers"
"333",2013-09-01,"1","Milwaukee Brewers"
"334",2013-10-01,"<1","Milwaukee Brewers"
"335",2013-11-01,"<1","Milwaukee Brewers"
"336",2013-12-01,"<1","Milwaukee Brewers"
"337",2014-01-01,"<1","Milwaukee Brewers"
"338",2014-02-01,"1","Milwaukee Brewers"
"339",2014-03-01,"1","Milwaukee Brewers"
"340",2014-04-01,"4","Milwaukee Brewers"
"341",2014-05-01,"3","Milwaukee Brewers"
"342",2014-06-01,"3","Milwaukee Brewers"
"343",2014-07-01,"3","Milwaukee Brewers"
"344",2014-08-01,"3","Milwaukee Brewers"
"345",2014-09-01,"3","Milwaukee Brewers"
"346",2014-10-01,"<1","Milwaukee Brewers"
"347",2014-11-01,"<1","Milwaukee Brewers"
"348",2014-12-01,"<1","Milwaukee Brewers"
"349",2015-01-01,"1","Milwaukee Brewers"
"350",2015-02-01,"1","Milwaukee Brewers"
"351",2015-03-01,"1","Milwaukee Brewers"
"352",2015-04-01,"3","Milwaukee Brewers"
"353",2015-05-01,"3","Milwaukee Brewers"
"354",2015-06-01,"2","Milwaukee Brewers"
"355",2015-07-01,"3","Milwaukee Brewers"
"356",2015-08-01,"2","Milwaukee Brewers"
"357",2015-09-01,"1","Milwaukee Brewers"
"358",2015-10-01,"1","Milwaukee Brewers"
"359",2015-11-01,"<1","Milwaukee Brewers"
"360",2015-12-01,"<1","Milwaukee Brewers"
"361",2016-01-01,"<1","Milwaukee Brewers"
"362",2016-02-01,"1","Milwaukee Brewers"
"363",2016-03-01,"1","Milwaukee Brewers"
"364",2016-04-01,"3","Milwaukee Brewers"
"365",2016-05-01,"3","Milwaukee Brewers"
"366",2016-06-01,"2","Milwaukee Brewers"
"367",2016-07-01,"2","Milwaukee Brewers"
"368",2016-08-01,"2","Milwaukee Brewers"
"369",2016-09-01,"1","Milwaukee Brewers"
"370",2016-10-01,"<1","Milwaukee Brewers"
"371",2016-11-01,"<1","Milwaukee Brewers"
"372",2016-12-01,"<1","Milwaukee Brewers"
"373",2017-01-01,"<1","Milwaukee Brewers"
"374",2017-02-01,"1","Milwaukee Brewers"
"375",2017-03-01,"1","Milwaukee Brewers"
"376",2017-04-01,"4","Milwaukee Brewers"
"377",2017-05-01,"4","Milwaukee Brewers"
"378",2017-06-01,"4","Milwaukee Brewers"
"379",2017-07-01,"6","Milwaukee Brewers"
"380",2017-08-01,"5","Milwaukee Brewers"
"381",2017-09-01,"6","Milwaukee Brewers"
"382",2017-10-01,"1","Milwaukee Brewers"
"383",2017-11-01,"<1","Milwaukee Brewers"
"384",2017-12-01,"1","Milwaukee Brewers"
"385",2018-01-01,"1","Milwaukee Brewers"
"386",2018-02-01,"1","Milwaukee Brewers"
"387",2018-03-01,"2","Milwaukee Brewers"
"388",2018-04-01,"5","Milwaukee Brewers"
"389",2018-05-01,"5","Milwaukee Brewers"
"390",2018-06-01,"6","Milwaukee Brewers"
"391",2018-07-01,"7","Milwaukee Brewers"
"392",2018-08-01,"6","Milwaukee Brewers"
"393",2018-09-01,"12","Milwaukee Brewers"
"394",2018-10-01,"27","Milwaukee Brewers"
"395",2018-11-01,"1","Milwaukee Brewers"
"396",2018-12-01,"1","Milwaukee Brewers"
"397",2019-01-01,"1","Milwaukee Brewers"
"398",2019-02-01,"1","Milwaukee Brewers"
"399",2019-03-01,"3","Milwaukee Brewers"
"400",2019-04-01,"8","Milwaukee Brewers"
"401",2019-05-01,"7","Milwaukee Brewers"
"402",2019-06-01,"7","Milwaukee Brewers"
"403",2019-07-01,"7","Milwaukee Brewers"
"404",2019-08-01,"7","Milwaukee Brewers"
"405",2019-09-01,"11","Milwaukee Brewers"
"406",2019-10-01,"2","Milwaukee Brewers"
"407",2019-11-01,"1","Milwaukee Brewers"
"408",2019-12-01,"1","Milwaukee Brewers"
"409",2020-01-01,"1","Milwaukee Brewers"
"410",2020-02-01,"1","Milwaukee Brewers"
"411",2020-03-01,"1","Milwaukee Brewers"
"412",2020-04-01,"<1","Milwaukee Brewers"
"413",2020-05-01,"<1","Milwaukee Brewers"
"414",2020-06-01,"<1","Milwaukee Brewers"
"415",2020-07-01,"1","Milwaukee Brewers"
"416",2004-01-01,"1","Pittsburgh Pirates"
"417",2004-02-01,"1","Pittsburgh Pirates"
"418",2004-03-01,"1","Pittsburgh Pirates"
"419",2004-04-01,"2","Pittsburgh Pirates"
"420",2004-05-01,"2","Pittsburgh Pirates"
"421",2004-06-01,"2","Pittsburgh Pirates"
"422",2004-07-01,"2","Pittsburgh Pirates"
"423",2004-08-01,"1","Pittsburgh Pirates"
"424",2004-09-01,"1","Pittsburgh Pirates"
"425",2004-10-01,"1","Pittsburgh Pirates"
"426",2004-11-01,"1","Pittsburgh Pirates"
"427",2004-12-01,"1","Pittsburgh Pirates"
"428",2005-01-01,"1","Pittsburgh Pirates"
"429",2005-02-01,"1","Pittsburgh Pirates"
"430",2005-03-01,"1","Pittsburgh Pirates"
"431",2005-04-01,"2","Pittsburgh Pirates"
"432",2005-05-01,"2","Pittsburgh Pirates"
"433",2005-06-01,"2","Pittsburgh Pirates"
"434",2005-07-01,"2","Pittsburgh Pirates"
"435",2005-08-01,"1","Pittsburgh Pirates"
"436",2005-09-01,"1","Pittsburgh Pirates"
"437",2005-10-01,"1","Pittsburgh Pirates"
"438",2005-11-01,"1","Pittsburgh Pirates"
"439",2005-12-01,"1","Pittsburgh Pirates"
"440",2006-01-01,"1","Pittsburgh Pirates"
"441",2006-02-01,"1","Pittsburgh Pirates"
"442",2006-03-01,"2","Pittsburgh Pirates"
"443",2006-04-01,"2","Pittsburgh Pirates"
"444",2006-05-01,"2","Pittsburgh Pirates"
"445",2006-06-01,"2","Pittsburgh Pirates"
"446",2006-07-01,"4","Pittsburgh Pirates"
"447",2006-08-01,"2","Pittsburgh Pirates"
"448",2006-09-01,"2","Pittsburgh Pirates"
"449",2006-10-01,"1","Pittsburgh Pirates"
"450",2006-11-01,"1","Pittsburgh Pirates"
"451",2006-12-01,"1","Pittsburgh Pirates"
"452",2007-01-01,"1","Pittsburgh Pirates"
"453",2007-02-01,"1","Pittsburgh Pirates"
"454",2007-03-01,"2","Pittsburgh Pirates"
"455",2007-04-01,"2","Pittsburgh Pirates"
"456",2007-05-01,"3","Pittsburgh Pirates"
"457",2007-06-01,"3","Pittsburgh Pirates"
"458",2007-07-01,"2","Pittsburgh Pirates"
"459",2007-08-01,"2","Pittsburgh Pirates"
"460",2007-09-01,"1","Pittsburgh Pirates"
"461",2007-10-01,"1","Pittsburgh Pirates"
"462",2007-11-01,"1","Pittsburgh Pirates"
"463",2007-12-01,"1","Pittsburgh Pirates"
"464",2008-01-01,"1","Pittsburgh Pirates"
"465",2008-02-01,"1","Pittsburgh Pirates"
"466",2008-03-01,"2","Pittsburgh Pirates"
"467",2008-04-01,"2","Pittsburgh Pirates"
"468",2008-05-01,"2","Pittsburgh Pirates"
"469",2008-06-01,"2","Pittsburgh Pirates"
"470",2008-07-01,"2","Pittsburgh Pirates"
"471",2008-08-01,"2","Pittsburgh Pirates"
"472",2008-09-01,"1","Pittsburgh Pirates"
"473",2008-10-01,"1","Pittsburgh Pirates"
"474",2008-11-01,"1","Pittsburgh Pirates"
"475",2008-12-01,"1","Pittsburgh Pirates"
"476",2009-01-01,"1","Pittsburgh Pirates"
"477",2009-02-01,"1","Pittsburgh Pirates"
"478",2009-03-01,"1","Pittsburgh Pirates"
"479",2009-04-01,"3","Pittsburgh Pirates"
"480",2009-05-01,"2","Pittsburgh Pirates"
"481",2009-06-01,"2","Pittsburgh Pirates"
"482",2009-07-01,"2","Pittsburgh Pirates"
"483",2009-08-01,"2","Pittsburgh Pirates"
"484",2009-09-01,"1","Pittsburgh Pirates"
"485",2009-10-01,"1","Pittsburgh Pirates"
"486",2009-11-01,"1","Pittsburgh Pirates"
"487",2009-12-01,"1","Pittsburgh Pirates"
"488",2010-01-01,"1","Pittsburgh Pirates"
"489",2010-02-01,"1","Pittsburgh Pirates"
"490",2010-03-01,"1","Pittsburgh Pirates"
"491",2010-04-01,"2","Pittsburgh Pirates"
"492",2010-05-01,"2","Pittsburgh Pirates"
"493",2010-06-01,"2","Pittsburgh Pirates"
"494",2010-07-01,"1","Pittsburgh Pirates"
"495",2010-08-01,"1","Pittsburgh Pirates"
"496",2010-09-01,"1","Pittsburgh Pirates"
"497",2010-10-01,"1","Pittsburgh Pirates"
"498",2010-11-01,"1","Pittsburgh Pirates"
"499",2010-12-01,"1","Pittsburgh Pirates"
"500",2011-01-01,"1","Pittsburgh Pirates"
"501",2011-02-01,"1","Pittsburgh Pirates"
"502",2011-03-01,"1","Pittsburgh Pirates"
"503",2011-04-01,"2","Pittsburgh Pirates"
"504",2011-05-01,"2","Pittsburgh Pirates"
"505",2011-06-01,"3","Pittsburgh Pirates"
"506",2011-07-01,"4","Pittsburgh Pirates"
"507",2011-08-01,"2","Pittsburgh Pirates"
"508",2011-09-01,"1","Pittsburgh Pirates"
"509",2011-10-01,"1","Pittsburgh Pirates"
"510",2011-11-01,"1","Pittsburgh Pirates"
"511",2011-12-01,"1","Pittsburgh Pirates"
"512",2012-01-01,"1","Pittsburgh Pirates"
"513",2012-02-01,"1","Pittsburgh Pirates"
"514",2012-03-01,"1","Pittsburgh Pirates"
"515",2012-04-01,"2","Pittsburgh Pirates"
"516",2012-05-01,"2","Pittsburgh Pirates"
"517",2012-06-01,"3","Pittsburgh Pirates"
"518",2012-07-01,"4","Pittsburgh Pirates"
"519",2012-08-01,"3","Pittsburgh Pirates"
"520",2012-09-01,"2","Pittsburgh Pirates"
"521",2012-10-01,"1","Pittsburgh Pirates"
"522",2012-11-01,"1","Pittsburgh Pirates"
"523",2012-12-01,"1","Pittsburgh Pirates"
"524",2013-01-01,"1","Pittsburgh Pirates"
"525",2013-02-01,"1","Pittsburgh Pirates"
"526",2013-03-01,"1","Pittsburgh Pirates"
"527",2013-04-01,"2","Pittsburgh Pirates"
"528",2013-05-01,"3","Pittsburgh Pirates"
"529",2013-06-01,"4","Pittsburgh Pirates"
"530",2013-07-01,"5","Pittsburgh Pirates"
"531",2013-08-01,"5","Pittsburgh Pirates"
"532",2013-09-01,"5","Pittsburgh Pirates"
"533",2013-10-01,"6","Pittsburgh Pirates"
"534",2013-11-01,"1","Pittsburgh Pirates"
"535",2013-12-01,"1","Pittsburgh Pirates"
"536",2014-01-01,"1","Pittsburgh Pirates"
"537",2014-02-01,"1","Pittsburgh Pirates"
"538",2014-03-01,"2","Pittsburgh Pirates"
"539",2014-04-01,"4","Pittsburgh Pirates"
"540",2014-05-01,"3","Pittsburgh Pirates"
"541",2014-06-01,"3","Pittsburgh Pirates"
"542",2014-07-01,"4","Pittsburgh Pirates"
"543",2014-08-01,"3","Pittsburgh Pirates"
"544",2014-09-01,"4","Pittsburgh Pirates"
"545",2014-10-01,"2","Pittsburgh Pirates"
"546",2014-11-01,"1","Pittsburgh Pirates"
"547",2014-12-01,"1","Pittsburgh Pirates"
"548",2015-01-01,"1","Pittsburgh Pirates"
"549",2015-02-01,"1","Pittsburgh Pirates"
"550",2015-03-01,"1","Pittsburgh Pirates"
"551",2015-04-01,"4","Pittsburgh Pirates"
"552",2015-05-01,"3","Pittsburgh Pirates"
"553",2015-06-01,"4","Pittsburgh Pirates"
"554",2015-07-01,"5","Pittsburgh Pirates"
"555",2015-08-01,"6","Pittsburgh Pirates"
"556",2015-09-01,"6","Pittsburgh Pirates"
"557",2015-10-01,"4","Pittsburgh Pirates"
"558",2015-11-01,"1","Pittsburgh Pirates"
"559",2015-12-01,"1","Pittsburgh Pirates"
"560",2016-01-01,"1","Pittsburgh Pirates"
"561",2016-02-01,"1","Pittsburgh Pirates"
"562",2016-03-01,"1","Pittsburgh Pirates"
"563",2016-04-01,"5","Pittsburgh Pirates"
"564",2016-05-01,"4","Pittsburgh Pirates"
"565",2016-06-01,"4","Pittsburgh Pirates"
"566",2016-07-01,"4","Pittsburgh Pirates"
"567",2016-08-01,"3","Pittsburgh Pirates"
"568",2016-09-01,"3","Pittsburgh Pirates"
"569",2016-10-01,"1","Pittsburgh Pirates"
"570",2016-11-01,"1","Pittsburgh Pirates"
"571",2016-12-01,"1","Pittsburgh Pirates"
"572",2017-01-01,"1","Pittsburgh Pirates"
"573",2017-02-01,"1","Pittsburgh Pirates"
"574",2017-03-01,"1","Pittsburgh Pirates"
"575",2017-04-01,"4","Pittsburgh Pirates"
"576",2017-05-01,"3","Pittsburgh Pirates"
"577",2017-06-01,"3","Pittsburgh Pirates"
"578",2017-07-01,"4","Pittsburgh Pirates"
"579",2017-08-01,"3","Pittsburgh Pirates"
"580",2017-09-01,"2","Pittsburgh Pirates"
"581",2017-10-01,"1","Pittsburgh Pirates"
"582",2017-11-01,"<1","Pittsburgh Pirates"
"583",2017-12-01,"1","Pittsburgh Pirates"
